"NAME";"DESCRIPTION";"CATEGORY";"PRICE"
"TV Hisense";"High-resolution smart TV with built-in streaming capabilities";"tech";"100"
"Wireless Bluetooth Earbuds";"Noise-cancelling, sweat-resistant earbuds for on-the-go listening";"tech";"75"
"Yoga Mat";"Non-slip, eco-friendly yoga mat for fitness and meditation";"sports";"30"
"Robot Vacuum Cleaner";"Smart vacuum with multiple cleaning modes for effortless cleaning";"home";"200"
"Smartphone Gimbal Stabilizer";"Handheld stabilizer for smooth video recording on smartphones";"tech";"80"
"Resistance Bands Set";"Portable fitness bands for various strength training exercises";"sports";"20"
"Air Purifier";"HEPA filter air purifier for improved indoor air quality";"home";"150"
"Wireless Charging Pad";"Qi-enabled charging pad for wirelessly charging smartphones";"tech";"40"
"Basketball Hoop Set";"Adjustable height basketball hoop for outdoor fun and practice";"sports";"90"
"Smart Home Security Camera";"HD camera with motion detection and two-way audio";"home";"120"
"Gaming Mouse";"High-precision mouse with customizable buttons for gaming enthusiasts";"tech";"60"
"Running Shoes";"Lightweight and breathable running shoes for optimal performance";"sports";"70"
"Slow Cooker";"Programmable slow cooker for convenient meal preparation";"home";"50"
"Portable Bluetooth Speaker";"Compact and waterproof speaker for music on-the-go";"tech";"45"
"Camping Tent";"Spacious tent with weatherproof design for outdoor adventures";"sports";"100"
"LED Desk Lamp";"Adjustable brightness lamp with USB charging port";"home";"25"
"Fitness Tracker Watch";"Smartwatch with fitness tracking features and heart rate monitor";"tech";"85"
"Soccer Ball";"Durable soccer ball suitable for training and matches";"sports";"30"
"Espresso Machine";"Compact espresso maker for brewing delicious coffee at home";"home";"150"
"External Hard Drive";"High-capacity portable hard drive for data storage";"tech";"70"
"Yoga Blocks";"Supportive foam blocks to aid in yoga poses and stretches";"sports";"15"
"Indoor Plant Set";"Set of low-maintenance indoor plants to enhance home decor";"home";"40"
"Bluetooth Headphones";"Over-ear headphones with wireless connectivity and long battery life";"tech";"90"
"Tennis Racket";"Lightweight and sturdy racket suitable for tennis players";"sports";"50"
"Air Fryer";"Oil-less fryer for healthier cooking of crispy foods";"home";"80"
"Portable External Battery";"High-capacity battery pack for charging devices on-the-go";"tech";"35"
"Jump Rope";"Adjustable and lightweight jump rope for cardio workouts";"sports";"10"
"Essential Oil Diffuser";"Aromatherapy diffuser for creating a relaxing atmosphere at home";"home";"30"
"GoPro Action Camera";"Compact and rugged camera for capturing adventures";"tech";"180"
"Dumbbell Set";"Pair of adjustable dumbbells for strength training";"sports";"120"
"Blender";"Powerful blender for making smoothies, soups, and sauces";"home";"60"
"Wireless Gaming Controller";"Ergonomic controller for gaming on various platforms";"tech";"70"
"Hiking Backpack";"Durable and spacious backpack for hiking and outdoor trips";"sports";"40"
"Digital Photo Frame";"High-resolution digital frame for displaying photos at home";"home";"50"
"Portable Power Bank";"High-capacity power bank for charging devices on-the-go";"tech";"25"
"Tennis Balls";"Set of durable tennis balls for practice and matches";"sports";"15"
"Electric Kettle";"Fast-boiling electric kettle for tea and coffee enthusiasts";"home";"20"
"Smart Thermostat";"Wi-Fi enabled thermostat for efficient home temperature control";"tech";"100"
"Cycling Helmet";"Safety-certified helmet for cyclists and bikers";"sports";"45"
